Time,Current,Theta_m,Q_load,Speed,DotQ,Delta_Theta,Tau_m
0.775,20.6165757383024,22.3528625217937,0.21973810424021,31.6173343705999,0.313038174199509,0.00157736627259944,1.13535482590832
0.776,20.6165756196727,22.3844798488666,0.22005114250891,31.6173263291069,0.313038326207759,0.00157737084620455,1.13535481937538
0.777,20.6165755226719,22.4160971677592,0.220364180927469,31.6173181117661,0.313038489426326,0.00157737518895856,1.13535481403354
0.778,20.6165754467774,22.447714478444,0.220677219506208,31.6173097669146,0.313038662538845,0.00157737929026747,1.13535480985403
0.779,20.6165753913158,22.4793317809448,0.220990258254774,31.6173013452728,0.313038844123415,0.00157738314071953,1.13535480679976
0.78,20.616575355463,22.5109490753361,0.221303297182134,31.6172928999446,0.313039032652589,0.0015773867320853,1.13535480482535
0.781,20.6165753382445,22.5425663617438,0.221616336296581,31.6172844864174,0.31303922649338,0.0015773900573173,1.13535480387713
0.782,20.6165753385349,22.5741836403444,0.221929375605731,31.6172761625618,0.313039423907261,0.00157739311055047,1.13535480389312
0.783,20.6165753550583,22.605800911366,0.222242415116522,31.6172679886321,0.313039623050163,0.00157739588710179,1.13535480480306
0.784,20.6165753864098,22.6374181751046,0.22255545483378,31.6172600220701,0.313039822102812,0.00157739838507742,1.13535480652959
0.785,20.6165754322813,22.6690354324793,0.222868494705662,31.6172521082197,0.313040024632169,0.00157740066541986,1.13535480905573
0.786,20.6165754928238,22.7006526837222,0.223181534715305,31.6172441892256,0.313040232059288,0.00157740274729085,1.13535481238981
0.787,20.6165755678244,22.7322699286525,0.22349457487742,31.6172363180033,0.313040443060041,0.00157740461418926,1.13535481652009
0.788,20.6165756570221,22.7638871671256,0.223807615205273,31.617228544343,0.313040656368779,0.00157740625141581,1.13535482143221
0.789,20.6165757601078,22.7955043990329,0.224120655710688,31.6172209149099,0.31304087077833,0.0015774076460732,1.13535482710914
0.79,20.6165758767245,22.827121624302,0.224433696404042,31.6172134732439,0.313041085140002,0.00157740878706619,1.13535483353122
0.791,20.616576006467,22.8587388428965,0.224746737294269,31.6172062597599,0.313041298363583,0.00157740966510139,1.13535484067614
0.792,20.6165761488823,22.8903560548162,0.225059778388859,31.6171993117474,0.313041509417336,0.00157741027268732,1.13535484851895
0.793,20.6165763034692,22.921973260097,0.225372819693855,31.6171926633711,0.313041717328005,0.0015774106041346,1.13535485703205
0.794,20.6165764696785,22.9535904588109,0.225685861213859,31.6171863456703,0.313041921180811,0.00157741065555567,1.1353548661852
0.795,20.6165766469131,22.985207651066,0.225998902952026,31.6171803865591,0.313042120119456,0.00157741042486489,1.1353548759455
0.796,20.6165768345276,23.0168248370065,0.226311944910068,31.6171748108267,0.313042313346118,0.00157740991177877,1.13535488627743
0.797,20.6165770318288,23.0484420168128,0.226624987088252,31.6171696401369,0.313042500121454,0.00157740911781556,1.13535489714281
0.798,20.6165772380754,23.0800591907012,0.2269380294854,31.6171648930285,0.3130426797646,0.00157740804629558,1.13535490850081
0.799,20.6165774524782,23.1116763589243,0.22725107209889,31.617160584915,0.31304285165317,0.00157740670234099,1.13535492030798
0.8,20.6165776741998,23.1432935217708,0.227564114924657,31.6171567280848,0.313043015223258,0.0015774050928761,1.13535493251818
0.801,20.6165779023547,23.1749106795654,0.227877157957189,31.6171533317014,0.313043169969434,0.00157740322662689,1.13535494508267
0.802,20.6165781360096,23.206527832669,0.228190201189532,31.6171504018027,0.313043315444749,0.00157740111412161,1.13535495795005
0.803,20.6165783741832,23.2381449814785,0.228503244613286,31.6171479413018,0.313043451260732,0.00157739876769014,1.13535497106627
0.804,20.6165786158458,23.2697621264271,0.228816288218606,31.6171459499864,0.313043577087388,0.00157739620146458,1.13535498437463
0.805,20.6165788599201,23.3013792679839,0.229129331994204,31.6171444245193,0.313043692653203,0.00157739343137875,1.1353549978158
0.806,20.6165791052805,23.3329964066542,0.229442375927349,31.617143358438,0.313043797745142,0.00157739047516867,1.13535501132779
0.807,20.6165793507534,23.3646135429795,0.229755420003861,31.6171427421547,0.313043892208646,0.00157738735237206,1.13535502484599
0.808,20.6165795951174,23.3962306775373,0.230068464208119,31.6171425629568,0.313043975947637,0.00157738408432881,1.13535503830312
0.809,20.6165798371029,23.4278478109411,0.230381508523058,31.6171428050062,0.313044048924515,0.00157738069418056,1.13535505162925
0.81,20.6165800753921,23.4594649438407,0.230694552930166,31.6171434493399,0.313044111160156,0.00157737720687104,1.13535506475184
0.811,20.6165803086195,23.4910820769221,0.231007597409488,31.6171444738695,0.313044162733919,0.0015773736491459,1.13535507759568
0.812,20.6165805353714,23.522699210907,0.231320641939626,31.6171458533818,0.313044203783637,0.00157737004955272,1.1353550900829
