Time,Current,Speed
0.152,11.5733877880837,148.585226079422
0.154,11.3877539848824,150.27656816475
0.156,11.2016907973092,151.935098451044
0.158,11.0153632505252,153.560792749461
0.16,10.8289302270671,155.153652027587
0.162,10.6425448268139,156.71369950958
0.164,10.456354366987,158.240980676163
0.166,10.2705003821506,159.735563264634
0.168,10.0851186242113,161.197537268856
0.17,9.90033906241806,162.627014939264
0.172,9.7162861880727,164.024130079219
0.174,9.53307837107462,165.389044826714
0.176,9.35082804429161,166.721944134923
0.178,9.16964287187753,168.023027731248
0.18,8.98962575987186,169.29251006051
0.182,8.81087485619968,170.530620284945
0.184,8.6334835506717,171.737602284209
0.186,8.45754047498427,172.913714655375
0.188,8.28312961650519,174.059230432669
0.19,8.11033013147601,175.174440582866
0.192,7.93921594681496,176.259653857453
0.194,7.7698570667508,177.315188293854
0.196,7.60231966724575,178.341370735976
0.198,7.43666609599544,179.338536834214
0.2,7.27295487242892,180.307031045446
0.202,7.11124068770868,181.247206633038
0.204,6.95157448960754,182.159425500257
0.206,6.79400325583584,183.044061066604
0.208,6.63856974889062,183.901497809287
0.21,6.48531364761731,184.732124803552
0.212,6.33427162412088,185.536335375142
0.214,6.18547734376593,186.314527100295
0.216,6.03896146517659,187.067101805748
0.218,5.89475164023661,187.794465568732
0.22,5.75287260631639,188.497028713804
0.222,5.61334575454078,189.175208846193
0.224,5.47618938626867,189.829428117258
0.226,5.34141949556986,190.460109537175
0.228,5.20904978255081,191.067676926533
0.23,5.07909165335462,191.652554916326
0.232,4.95155422016103,192.215168947959
0.234,4.82644430667145,192.755945260949
0.236,4.70376649136233,193.27531149637
0.238,4.58352257935858,193.773698767427
0.24,4.46571240541796,194.25153754083
0.242,4.3503341180415,194.709256571045
0.244,4.23738417947347,195.147282900299
0.246,4.12685736570145,195.566041858577
0.248,4.01874676645624,195.96595706362
0.25,3.91304382290369,196.347450460678
0.252,3.80973808065437,196.710943940601
0.254,3.70881722936453,197.056858326005
