Time,tau_m,tau_ext,theta_m,q,d_theta_m,d_q,dd_theta_m,dd_q
0.778,0.101812880051257,0,120.465395654281,1.20419153296483,201.725226278641,2.01628316230831,-4.64284998733235,-0.0441837232466402
0.78,0.102061073738538,0,120.868797948248,1.2081841095628,201.718104824474,2.01679051187626,-3.36259764177573,-0.0252890456784838
0.782,0.102320866025105,0,121.272180474986,1.21216957091744,201.713714247422,2.01738206487946,-2.0962315797491,-0.00700778919445469
0.784,0.102591231629491,0,121.675549893939,1.21614929841079,201.712000983616,2.01801635480484,-0.815375452832831,0.0105604184896962
0.786,0.102871103542175,0,122.078913130175,1.22012490762241,201.712970633551,2.01865683787962,0.523043332813092,0.0273967400254564
0.788,0.103159377236577,0,122.482277596434,1.22409833455192,201.716714851209,2.01927229716445,1.97519717808056,0.0435496577744564
0.79,0.103454915028125,0,122.885651414058,1.22807187109006,201.723434083875,2.01983642519417,3.60687075635978,0.0591327737169999
0.792,0.103756550564176,0,123.289043608151,1.23204813537051,201.733452850475,2.02032679572457,5.48796617303695,0.0743384440326642
0.794,0.104063093427071,0,123.692464252213,1.23602996975426,201.747224436382,2.02072380463526,7.68506739212174,0.0894621301786342
0.796,0.104373333832178,0,124.095924532644,1.24002026157322,201.765322208948,2.02101030246094,10.2523571633009,0.104922841850993
0.798,0.104686047402353,0,124.499436701185,1.24402168584839,201.788415178487,2.02117243653828,13.2214420918109,0.121262071869084
0.8,0.105,0,124.903013893803,1.24803638427038,201.817226179634,2.02120185622034,16.5909201807956,0.139109349433137
0.802,0.105313952597647,0,125.306669818158,1.25206562029575,201.852472273223,2.02109904800915,20.3167882382263,0.159113364873612
0.804,0.105626666167822,0,125.710418338709,1.25610947535531,201.894788596596,2.0208771325582,24.3049948302516,0.181847980717909
0.806,0.105936906572929,0,126.114273006608,1.26016666297389,201.944638877205,2.02056503656583,28.4075577312666,0.207708643901761
0.808,0.106243449435824,0,126.518246579912,1.26423452479289,202.002218257669,2.02020881122004,32.4236459770809,0.23681592640676
0.81,0.106545084971875,0,126.922350557,1.26830923344052,202.067356889109,2.01987017480928,36.1068449970201,0.268940338113277
0.812,0.106840622763423,0,127.326594716667,1.27238617689452,202.139435489503,2.01962196372469,39.1794577836916,0.303457839870384
0.814,0.107128896457825,0,127.730986639729,1.27646045578768,202.217326134153,2.01954081927991,41.3541381657886,0.339339928598626
0.816,0.107408768370509,0,128.13553118786,1.28052739973284,202.299372459548,2.019697978894,42.3624153927893,0.375177368501171
0.818,0.107679133974895,0,128.540229944573,1.28458301227907,202.383422853494,2.02014943709249,41.9887868866603,0.409234725952069
0.82,0.107938926261462,0,128.945080682675,1.28862429154115,202.46692779622,2.02092697629771,40.1080864255591,0.439534507384988
0.822,0.108187119948743,0,129.350076989335,1.29264942546021,202.547108113243,2.02203159121847,36.7228594670963,0.463972699196998
0.824,0.108422735529643,0,129.755208218585,1.29665789511992,202.621194408807,2.02343054133884,31.9965997152638,0.480468816226932
0.826,0.108644843137107,0,130.160459931542,1.30065051983947,202.68672960999,2.02505869487379,26.2780445219651,0.48715186722417
0.828,0.108852566213879,0,130.565814929062,1.30462944882786,202.741917039354,2.02682420761655,20.1114233364883,0.482578746039836
0.83,0.109045084971875,0,130.9712548991,1.30859806661735,202.785986579136,2.02861805974866,14.2277302378575,0.465973349929851
0.832,0.10922163962751,0,131.376762621942,1.31256076357762,202.819542162707,2.03032651098356,9.51285717526237,0.437464914129415
0.834,0.109381533400219,0,131.782324625625,1.31652255122207,202.844846071635,2.03184507075538,6.94985263838119,0.398296525121845
0.836,0.10952413526233,0,132.187934157317,1.32048856651873,202.865990530198,2.03309209858554,7.53467927229529,0.350972170141474
0.838,0.109648882429441,0,132.593594301111,1.32446357000196,202.88890623156,2.03401977649898,12.167577626177,0.299312392322377
0.84,0.109755282581476,0,132.999320996078,1.32845155755244,202.921162209365,2.0346203276639,21.5253603542544,0.24839267181174
0.842,0.109842915805643,0,133.405145590139,1.33245556366685,202.971523031164,2.03492630577348,35.923429154023,0.204343744691141
0.844,0.109911436253643,0,133.811116441106,1.33647765837179,203.049247735631,2.03500526157536,55.179703381873,0.173999147550252
0.846,0.109960573506572,0,134.217299001579,1.34051907351298,203.163139323829,2.03495038938663,78.4955745205403,0.164383058065982
0.848,0.109990133642141,0,134.623773847644,1.34458037403796,203.320382479078,2.03486937231292,104.370999868902,0.182041796487426
0.85,0.11,0,135.030632243331,1.34866161856479,203.525238703066,2.03487356473869,130.571449914788,0.232236555635687
0.852,0.109990133642141,0,135.437969039692,1.35276249298682,203.777699710775,2.03506904339529,154.163185610092,0.318034820974808
0.854,0.109960573506572,0,135.845872947166,1.35688241144634,204.072228396122,2.03555006855254,171.629909784562,0.439362793811563
0.856,0.109911436253643,0,136.254414487427,1.3610205653448,204.396738162745,2.03639441263706,179.078008260565,0.592106388714741
0.858,0.109842915805643,0,136.663632245686,1.36517590085871,204.731971957719,2.03765928787801,172.529389953545,0.767368521368395
0.86,0.109755282581476,0,137.073518392433,1.36934703191427,205.051437902884,2.03937648854261,148.290657510497,0.95100128767972
0.862,0.109648882429441,0,137.484004760964,1.37353211970037,205.322035218441,2.04154574357417,103.3756338895,1.12353033584448
0.864,0.10952413526233,0,137.89495098762,1.37772874660303,205.505459606598,2.04412597631619,35.9461452257858,1.26057380397611
0.866,0.109381533400219,0,138.306136314137,1.38193379436548,205.560410864391,2.04702510635545,-54.275206745093,1.33382964811775
0.868,0.10922163962751,0,138.717256601663,1.38614333136744,205.445539143796,2.05008998893321,-165.675050380434,1.31266252875291
0.87,0.109045084971875,0,139.127927889433,1.39035253222601,205.122964975245,2.0530987496514,-294.560664811589,1.16626348214521
0.872,0.108852566213879,0,139.537697409938,1.39455567697605,204.562100767668,2.05575803318986,-435.168577243326,0.866283844293964
0.874,0.108644843137107,0,139.94606232075,1.39874627919526,203.743400813392,2.0577075507915,-579.914367243195,0.389765226941699
0.876,0.108422735529643,0,140.352495555324,1.40291736571455,202.66158929465,2.05853359867215,-719.905189540807,-0.277891267088179
0.878,0.108187119948743,0,140.756477217207,1.40706189319543,201.327881356175,2.05779183334588,-845.701659886794,-1.14023884592493
0.88,-0.0317239809552911,0,141.157528968192,1.41117325186658,199.770744064876,2.05503789164286,-948.26845003074,-2.18773936048959
0.882,-0.032490852520422,0,141.555248047413,1.41524577421146,198.034865133351,2.04986297541585,-1019.99929378349,-3.39670103270189
0.884,-0.0330360977651461,0,141.949337107806,1.41927514950016,196.178218570735,2.04193060474082,-1055.66044662692,-4.72946385137913
0.886,-0.0332020296770265,0,142.339626167538,1.42325866779541,194.26741346747,2.03101046515699,-1053.09178939049,-6.13595652842072
0.888,-0.0328587563632049,0,142.726083722715,1.42719527696986,192.37181339454,2.01700556442304,-1013.54666299789,-7.55657089561826
0.89,-0.0319164402128898,0,143.108815331063,1.43108549409795,190.557130306606,1.99996963111935,-941.62291783805,-8.92612382619071
0.892,-0.0303342622512213,0,143.488049489101,1.43493122920147,188.879274014977,1.98011274897195,-844.809371038027,-10.1785410002227
